00-10227,1,2000-2001,BEED,MATHEMATICS,MAT 0,Preparatory Mathematics,2,,3
00-10227,1,2000-2001,BEED,MATHEMATICS,ENGL 0,Preparatory English,2.8,,3
00-10227,1,2000-2001,BEED,MATHEMATICS,NATSCI 1,Biological Science,2,,5
00-10227,1,2000-2001,BEED,MATHEMATICS,FILIP 1,"Sining ng Pakikipagtalastasan, Komposisyon at Pagbasa",1.9,,3
00-10227,1,2000-2001,BEED,MATHEMATICS,ENGL 1,Studying and Thinking Skills,2.5,,3
00-10227,1,2000-2001,BEED,MATHEMATICS,SOCSCI 1,General Psychology,2.1,,3
00-10227,1,2000-2001,BEED,MATHEMATICS,HUMAN 1,Art Education,2,,3
00-10227,1,2000-2001,BEED,MATHEMATICS,P.E.1,Self-Testing Activities,1.6,,2
00-10227,2,2001-2002,BEED,MATHEMATICS,MAT 1A,Basic Mathematics,2.1,,3
00-10227,2,2001-2002,BEED,MATHEMATICS,NATSCI 2,Physical Science including Earth Science,1.8,,3
00-10227,2,2001-2002,BEED,MATHEMATICS,ENGL 2,Writing in the Discipline,2.6,,3
00-10227,2,2001-2002,BEED,MATHEMATICS,ENGLI 3,Speech Improvement and Oral Communication,1.7,,3
00-10227,2,2001-2002,BEED,MATHEMATICS,FIL 2,Panitikang Filipino,1.7,,3
00-10227,2,2001-2002,BEED,MATHEMATICS,SOCSC 2,Values Education I,1.8,,3
00-10227,2,2001-2002,BEED,MATHEMATICS,HUMAN 2,Fundamentals of Music,1.6,,3
00-10227,2,2001-2002,BEED,MATHEMATICS,P.E. 2,Rhythmic Activities,1.7,,2
00-10227,1,2002-2003,BEED,MATHEMATICS,MAT 3A,Plane Trigonometry,1.6,,3
00-10227,1,2002-2003,BEED,MATHEMATICS,MAT 4A,Plane Geometry,2,,3
00-10227,1,2002-2003,BEED,MATHEMATICS,PROFED 1,Human Growth Learning and Development,1.9,,3
00-10227,1,2002-2003,BEED,MATHEMATICS,PROFED 2A,Foundation of Education I,2.2,,3
00-10227,1,2002-2003,BEED,MATHEMATICS,PROFED 3A,Social Philosophy I (Intro to Soc Philo w/ HRC),2.1,,3
00-10227,1,2002-2003,BEED,MATHEMATICS,FIL 3,Filipino sa Tanging Gamit,1.9,,3
00-10227,1,2002-2003,BEED,MATHEMATICS,MAT 2,College Algebra,2.4,,3
00-10227,1,2002-2003,BEED,MATHEMATICS,P.E. 3,Games and Team Sports,1.8,,2
00-10227,2,2002-2003,BEED,MATHEMATICS,ENG 202-F,Literary Types and Forms incl. Philippine Literature,2.5,,3
00-10227,2,2002-2003,BEED,MATHEMATICS,SSCI 201-1S,Philippine History,1.9,,3
00-10227,2,2002-2003,BEED,MATHEMATICS,PRED 204-BU,"Foundation of Education II (Histo-, Philo-, Legal)",1.9,,3
00-10227,2,2002-2003,BEED,MATHEMATICS,PRED 206-BF,Social Philosophy II,1.7,,3
00-10227,2,2002-2003,BEED,MATHEMATICS,PRED 208-BF,Principles and Methods of Teaching,1.6,,3
00-10227,2,2002-2003,BEED,MATHEMATICS,MAT 212,Solid Geometry,1.8,,3
00-10227,2,2002-2003,BEED,MATHEMATICS,MAT 214,Advance Algebra,2.1,,3
00-10227,2,2002-2003,BEED,MATHEMATICS,PE 202,Recreational Games and Individual Sports,1.4,,2
00-10227,1,2003-2004,BEED,MATHEMATICS,MAT 216-3F,Elementary Theory of Numbers,1.6,,3
00-10227,1,2003-2004,BEED,MATHEMATICS,MAT 301,Probability and Statistics,2.4,,3
00-10227,1,2003-2004,BEED,MATHEMATICS,PRED 301-BU,Teaching Strategies I,2.4,,3
00-10227,1,2003-2004,BEED,MATHEMATICS,PRED 303-B,Introduction to Educational Research,INC,2.2,3
00-10227,1,2003-2004,BEED,MATHEMATICS,PRED 302-BF,Educational Technology,1.4,,3
00-10227,1,2003-2004,BEED,MATHEMATICS,SSCI 204-3F,Politics and Governance w/ Phil. Constitution incl TAR,2.9,,3
00-10227,1,2003-2004,BEED,MATHEMATICS,SSCI 301-2,Rizal's Life and Works,2,,3
00-10227,2,2003-2004,BEED,MATHEMATICS,PRED 304-BF,Teaching Strategies II,2.3,,3
00-10227,2,2003-2004,BEED,MATHEMATICS,PRED 306-BF,Teaching Strategies III,2.4,,3
00-10227,2,2003-2004,BEED,MATHEMATICS,PRED 308-BF,Guidance and Counseling incl SPED,2,,3
00-10227,2,2003-2004,BEED,MATHEMATICS,PRED 312-BF,Educational Measurement and Evaluation,1.7,,3
00-10227,2,2003-2004,BEED,MATHEMATICS,CED 101-3U,Introduction to Computer,2.1,,3
00-10227,2,2003-2004,BEED,MATHEMATICS,SSCI 302,Logic,1.9,,3
00-10227,2,2003-2004,BEED,MATHEMATICS,MAT 308,Fundamental Concepts of Mathematics I,2.3,,3
00-10227,1,2004-2005,BEED,MATHEMATICS,MAT 403,Fundamental Concepts of Mathematics II,2.9,,3
00-10227,1,2004-2005,BEED,MATHEMATICS,PRED 403-B,Community Immersion,2.3,,3
00-10227,1,2004-2005,BEED,MATHEMATICS,PRED 405-B,Observation and Participation,2.2,,3
00-10227,1,2004-2005,BEED,MATHEMATICS,PRED 401-B,Livelihood and Non-Formal Education,1.5,,
00-10227,2,2004-2005,BEED,MATHEMATICS,PRED 404-B,Student Teaching,1.8,,1
